,year,name,milliseconds,time_minutes,engine_type
3,1996,Monaco Grand Prix,99796.0895140665,01:39.796,3-Litre
7,1997,Monaco Grand Prix,119601.46692607003,01:59.601,3-Litre
11,1998,Monaco Grand Prix,87478.9940526763,01:27.478,3-Litre
15,1999,Monaco Grand Prix,86060.88057040998,01:26.060,3-Litre
2,1996,Italian Grand Prix,90259.41626794258,01:30.259,3-Litre
6,1997,Italian Grand Prix,88592.76371308017,01:28.592,3-Litre
10,1998,Italian Grand Prix,90119.74200913242,01:30.119,3-Litre
14,1999,Italian Grand Prix,88680.92108508015,01:28.680,3-Litre
1,1996,British Grand Prix,93658.72517321016,01:33.658,3-Litre
5,1997,British Grand Prix,91178.6669921875,01:31.178,3-Litre
9,1998,British Grand Prix,108235.0385818561,01:48.235,3-Litre
13,1999,British Grand Prix,94030.67260787993,01:34.030,3-Litre
0,1996,Belgian Grand Prix,122689.93333333333,02:02.689,3-Litre
4,1997,Belgian Grand Prix,132219.6422250316,02:12.219,3-Litre
8,1998,Belgian Grand Prix,145076.64239828693,02:25.076,3-Litre
12,1999,Belgian Grand Prix,119180.42991755006,01:59.180,3-Litre
