,year,name,milliseconds,time_minutes
3,2014,Monaco Grand Prix,86113.0328125,01:26.113
7,2015,Monaco Grand Prix,84532.03079076277,01:24.532
11,2016,Monaco Grand Prix,95728.84008843036,01:35.728
15,2017,Monaco Grand Prix,80751.66831683168,01:20.751
19,2018,Monaco Grand Prix,79857.7495042961,01:19.857
23,2019,Monaco Grand Prix,80587.34654130289,01:20.587
30,2021,Monaco Grand Prix,77457.93159379407,01:17.457
32,2022,Monaco Grand Prix,110229.84353741497,01:50.229
2,2014,Italian Grand Prix,91257.94926199262,01:31.257
6,2015,Italian Grand Prix,90377.70695187166,01:30.377
10,2016,Italian Grand Prix,90429.14215686274,01:30.429
14,2017,Italian Grand Prix,87423.60739260739,01:27.423
18,2018,Italian Grand Prix,88633.80972972974,01:28.633
22,2019,Italian Grand Prix,87150.30101010101,01:27.150
26,2020,Italian Grand Prix,121092.0,02:01.092
29,2021,Italian Grand Prix,92951.86951631046,01:32.951
1,2014,British Grand Prix,180681.68260869564,03:00.681
5,2015,British Grand Prix,108001.61165048544,01:48.001
9,2016,British Grand Prix,113489.77319587629,01:53.489
13,2017,British Grand Prix,97780.81439820022,01:37.780
17,2018,British Grand Prix,101208.1258351893,01:41.208
21,2019,British Grand Prix,95101.0273822563,01:35.101
25,2020,British Grand Prix,102457.77988826815,01:42.457
28,2021,British Grand Prix,138947.17750258,02:18.947
31,2022,British Grand Prix,164764.65721331688,02:44.764
0,2014,Belgian Grand Prix,117314.94172494173,01:57.314
4,2015,Belgian Grand Prix,119295.94565217392,01:59.295
8,2016,Belgian Grand Prix,144289.09391534392,02:24.289
12,2017,Belgian Grand Prix,116336.5435897436,01:56.336
16,2018,Belgian Grand Prix,116911.71594202898,01:56.911
20,2019,Belgian Grand Prix,116425.1211734694,01:56.425
24,2020,Belgian Grand Prix,115836.79112271541,01:55.836
27,2021,Belgian Grand Prix,225823.95,03:45.823
