,year,constructor_name,points
478,1990,mclaren,121.0
457,1989,mclaren,141.0
438,1988,mclaren,199.0
426,1987,williams,137.0
410,1986,williams,141.0
387,1985,mclaren,90.0
372,1984,mclaren,143.5
354,1983,ferrari,89.0
338,1982,ferrari,74.0
332,1981,williams,95.0
315,1980,williams,120.0
288,1979,ferrari,113.0
277,1978,team_lotus,116.0
247,1977,ferrari,114.0
226,1976,ferrari,99.0
204,1975,ferrari,89.5
185,1974,ferrari,90.0
180,1973,tyrrell,118.0
163,1972,mclaren,66.0
156,1971,tyrrell,88.0
136,1970,ferrari,76.0
131,1969,matra-ford,85.0
116,1968,lotus-ford,75.0
87,1967,brabham-repco,100.0
72,1966,brabham-repco,63.0
58,1965,brm,81.0
44,1964,brm,70.0
33,1963,lotus-climax,74.0
1,1962,brm,62.0
