,year,name,constructor_name,points
42,2010,Monaco Grand Prix,red_bull,43.0
36,2010,Monaco Grand Prix,ferrari,20.0
43,2010,Monaco Grand Prix,renault,15.0
40,2010,Monaco Grand Prix,mclaren,10.0
37,2010,Monaco Grand Prix,force_india,6.0
41,2010,Monaco Grand Prix,mercedes,6.0
45,2010,Monaco Grand Prix,toro_rosso,1.0
38,2010,Monaco Grand Prix,hrt,0.0
39,2010,Monaco Grand Prix,lotus_racing,0.0
44,2010,Monaco Grand Prix,sauber,0.0
46,2010,Monaco Grand Prix,virgin,0.0
47,2010,Monaco Grand Prix,williams,0.0
24,2010,Italian Grand Prix,ferrari,40.0
30,2010,Italian Grand Prix,red_bull,20.0
28,2010,Italian Grand Prix,mclaren,18.0
29,2010,Italian Grand Prix,mercedes,12.0
35,2010,Italian Grand Prix,williams,7.0
31,2010,Italian Grand Prix,renault,4.0
25,2010,Italian Grand Prix,force_india,0.0
26,2010,Italian Grand Prix,hrt,0.0
27,2010,Italian Grand Prix,lotus_racing,0.0
32,2010,Italian Grand Prix,sauber,0.0
33,2010,Italian Grand Prix,toro_rosso,0.0
34,2010,Italian Grand Prix,virgin,0.0
18,2010,British Grand Prix,red_bull,31.0
16,2010,British Grand Prix,mclaren,30.0
17,2010,British Grand Prix,mercedes,17.0
23,2010,British Grand Prix,williams,11.0
20,2010,British Grand Prix,sauber,8.0
13,2010,British Grand Prix,force_india,4.0
12,2010,British Grand Prix,ferrari,0.0
14,2010,British Grand Prix,hrt,0.0
15,2010,British Grand Prix,lotus_racing,0.0
19,2010,British Grand Prix,renault,0.0
21,2010,British Grand Prix,toro_rosso,0.0
22,2010,British Grand Prix,virgin,0.0
4,2010,Belgian Grand Prix,mclaren,25.0
6,2010,Belgian Grand Prix,red_bull,18.0
7,2010,Belgian Grand Prix,renault,17.0
5,2010,Belgian Grand Prix,mercedes,14.0
0,2010,Belgian Grand Prix,ferrari,12.0
1,2010,Belgian Grand Prix,force_india,11.0
8,2010,Belgian Grand Prix,sauber,4.0
2,2010,Belgian Grand Prix,hrt,0.0
3,2010,Belgian Grand Prix,lotus_racing,0.0
9,2010,Belgian Grand Prix,toro_rosso,0.0
10,2010,Belgian Grand Prix,virgin,0.0
11,2010,Belgian Grand Prix,williams,0.0
90,2011,Monaco Grand Prix,red_bull,37.0
88,2011,Monaco Grand Prix,mclaren,23.0
84,2011,Monaco Grand Prix,ferrari,18.0
92,2011,Monaco Grand Prix,sauber,10.0
85,2011,Monaco Grand Prix,force_india,6.0
91,2011,Monaco Grand Prix,renault,4.0
95,2011,Monaco Grand Prix,williams,2.0
93,2011,Monaco Grand Prix,toro_rosso,1.0
86,2011,Monaco Grand Prix,hrt,0.0
87,2011,Monaco Grand Prix,lotus_racing,0.0
89,2011,Monaco Grand Prix,mercedes,0.0
94,2011,Monaco Grand Prix,virgin,0.0
76,2011,Italian Grand Prix,mclaren,30.0
78,2011,Italian Grand Prix,red_bull,25.0
72,2011,Italian Grand Prix,ferrari,23.0
77,2011,Italian Grand Prix,mercedes,10.0
81,2011,Italian Grand Prix,toro_rosso,7.0
73,2011,Italian Grand Prix,force_india,4.0
79,2011,Italian Grand Prix,renault,2.0
74,2011,Italian Grand Prix,hrt,0.0
75,2011,Italian Grand Prix,lotus_racing,0.0
80,2011,Italian Grand Prix,sauber,0.0
82,2011,Italian Grand Prix,virgin,0.0
83,2011,Italian Grand Prix,williams,0.0
60,2011,British Grand Prix,ferrari,35.0
66,2011,British Grand Prix,red_bull,33.0
64,2011,British Grand Prix,mclaren,12.0
65,2011,British Grand Prix,mercedes,10.0
68,2011,British Grand Prix,sauber,6.0
67,2011,British Grand Prix,renault,4.0
69,2011,British Grand Prix,toro_rosso,1.0
61,2011,British Grand Prix,force_india,0.0
62,2011,British Grand Prix,hrt,0.0
63,2011,British Grand Prix,lotus_racing,0.0
70,2011,British Grand Prix,virgin,0.0
71,2011,British Grand Prix,williams,0.0
54,2011,Belgian Grand Prix,red_bull,43.0
53,2011,Belgian Grand Prix,mercedes,18.0
48,2011,Belgian Grand Prix,ferrari,16.0
52,2011,Belgian Grand Prix,mclaren,15.0
49,2011,Belgian Grand Prix,force_india,6.0
55,2011,Belgian Grand Prix,renault,2.0
59,2011,Belgian Grand Prix,williams,1.0
50,2011,Belgian Grand Prix,hrt,0.0
51,2011,Belgian Grand Prix,lotus_racing,0.0
56,2011,Belgian Grand Prix,sauber,0.0
57,2011,Belgian Grand Prix,toro_rosso,0.0
58,2011,Belgian Grand Prix,virgin,0.0
140,2012,Monaco Grand Prix,red_bull,37.0
133,2012,Monaco Grand Prix,ferrari,23.0
139,2012,Monaco Grand Prix,mercedes,18.0
134,2012,Monaco Grand Prix,force_india,10.0
138,2012,Monaco Grand Prix,mclaren,10.0
136,2012,Monaco Grand Prix,lotus_f1,2.0
143,2012,Monaco Grand Prix,williams,1.0
132,2012,Monaco Grand Prix,caterham,0.0
135,2012,Monaco Grand Prix,hrt,0.0
137,2012,Monaco Grand Prix,marussia,0.0
141,2012,Monaco Grand Prix,sauber,0.0
142,2012,Monaco Grand Prix,toro_rosso,0.0
121,2012,Italian Grand Prix,ferrari,27.0
126,2012,Italian Grand Prix,mclaren,25.0
129,2012,Italian Grand Prix,sauber,20.0
127,2012,Italian Grand Prix,mercedes,14.0
124,2012,Italian Grand Prix,lotus_f1,10.0
122,2012,Italian Grand Prix,force_india,4.0
131,2012,Italian Grand Prix,williams,1.0
120,2012,Italian Grand Prix,caterham,0.0
123,2012,Italian Grand Prix,hrt,0.0
125,2012,Italian Grand Prix,marussia,0.0
128,2012,Italian Grand Prix,red_bull,0.0
130,2012,Italian Grand Prix,toro_rosso,0.0
116,2012,British Grand Prix,red_bull,40.0
109,2012,British Grand Prix,ferrari,30.0
112,2012,British Grand Prix,lotus_f1,18.0
115,2012,British Grand Prix,mercedes,6.0
114,2012,British Grand Prix,mclaren,5.0
119,2012,British Grand Prix,williams,2.0
108,2012,British Grand Prix,caterham,0.0
110,2012,British Grand Prix,force_india,0.0
111,2012,British Grand Prix,hrt,0.0
