,year,name,constructor_name,points,era
67,1991,Monaco Grand Prix,mclaren,10.0,1991 - 2002
59,1991,Monaco Grand Prix,ferrari,6.0,1991 - 2002
71,1991,Monaco Grand Prix,williams,6.0,1991 - 2002
55,1991,Monaco Grand Prix,benetton,3.0,1991 - 2002
58,1991,Monaco Grand Prix,dallara,1.0,1991 - 2002
54,1991,Monaco Grand Prix,ags,0.0,1991 - 2002
56,1991,Monaco Grand Prix,brabham,0.0,1991 - 2002
57,1991,Monaco Grand Prix,coloni,0.0,1991 - 2002
60,1991,Monaco Grand Prix,fondmetal,0.0,1991 - 2002
61,1991,Monaco Grand Prix,footwork,0.0,1991 - 2002
62,1991,Monaco Grand Prix,jordan,0.0,1991 - 2002
63,1991,Monaco Grand Prix,lambo,0.0,1991 - 2002
64,1991,Monaco Grand Prix,leyton,0.0,1991 - 2002
65,1991,Monaco Grand Prix,ligier,0.0,1991 - 2002
66,1991,Monaco Grand Prix,lola,0.0,1991 - 2002
68,1991,Monaco Grand Prix,minardi,0.0,1991 - 2002
69,1991,Monaco Grand Prix,team_lotus,0.0,1991 - 2002
70,1991,Monaco Grand Prix,tyrrell,0.0,1991 - 2002
53,1991,Italian Grand Prix,williams,10.0,1991 - 2002
49,1991,Italian Grand Prix,mclaren,9.0,1991 - 2002
41,1991,Italian Grand Prix,ferrari,4.0,1991 - 2002
37,1991,Italian Grand Prix,benetton,3.0,1991 - 2002
36,1991,Italian Grand Prix,ags,0.0,1991 - 2002
38,1991,Italian Grand Prix,brabham,0.0,1991 - 2002
39,1991,Italian Grand Prix,coloni,0.0,1991 - 2002
40,1991,Italian Grand Prix,dallara,0.0,1991 - 2002
42,1991,Italian Grand Prix,fondmetal,0.0,1991 - 2002
43,1991,Italian Grand Prix,footwork,0.0,1991 - 2002
44,1991,Italian Grand Prix,jordan,0.0,1991 - 2002
45,1991,Italian Grand Prix,lambo,0.0,1991 - 2002
46,1991,Italian Grand Prix,leyton,0.0,1991 - 2002
47,1991,Italian Grand Prix,ligier,0.0,1991 - 2002
48,1991,Italian Grand Prix,lola,0.0,1991 - 2002
50,1991,Italian Grand Prix,minardi,0.0,1991 - 2002
51,1991,Italian Grand Prix,team_lotus,0.0,1991 - 2002
52,1991,Italian Grand Prix,tyrrell,0.0,1991 - 2002
35,1991,British Grand Prix,williams,10.0,1991 - 2002
31,1991,British Grand Prix,mclaren,9.0,1991 - 2002
23,1991,British Grand Prix,ferrari,4.0,1991 - 2002
19,1991,British Grand Prix,benetton,2.0,1991 - 2002
26,1991,British Grand Prix,jordan,1.0,1991 - 2002
18,1991,British Grand Prix,ags,0.0,1991 - 2002
20,1991,British Grand Prix,brabham,0.0,1991 - 2002
21,1991,British Grand Prix,coloni,0.0,1991 - 2002
22,1991,British Grand Prix,dallara,0.0,1991 - 2002
24,1991,British Grand Prix,fondmetal,0.0,1991 - 2002
25,1991,British Grand Prix,footwork,0.0,1991 - 2002
27,1991,British Grand Prix,lambo,0.0,1991 - 2002
28,1991,British Grand Prix,leyton,0.0,1991 - 2002
29,1991,British Grand Prix,ligier,0.0,1991 - 2002
30,1991,British Grand Prix,lola,0.0,1991 - 2002
32,1991,British Grand Prix,minardi,0.0,1991 - 2002
33,1991,British Grand Prix,team_lotus,0.0,1991 - 2002
34,1991,British Grand Prix,tyrrell,0.0,1991 - 2002
13,1991,Belgian Grand Prix,mclaren,16.0,1991 - 2002
1,1991,Belgian Grand Prix,benetton,7.0,1991 - 2002
17,1991,Belgian Grand Prix,williams,2.0,1991 - 2002
2,1991,Belgian Grand Prix,brabham,1.0,1991 - 2002
0,1991,Belgian Grand Prix,ags,0.0,1991 - 2002
3,1991,Belgian Grand Prix,coloni,0.0,1991 - 2002
4,1991,Belgian Grand Prix,dallara,0.0,1991 - 2002
5,1991,Belgian Grand Prix,ferrari,0.0,1991 - 2002
6,1991,Belgian Grand Prix,fondmetal,0.0,1991 - 2002
7,1991,Belgian Grand Prix,footwork,0.0,1991 - 2002
8,1991,Belgian Grand Prix,jordan,0.0,1991 - 2002
9,1991,Belgian Grand Prix,lambo,0.0,1991 - 2002
10,1991,Belgian Grand Prix,leyton,0.0,1991 - 2002
11,1991,Belgian Grand Prix,ligier,0.0,1991 - 2002
12,1991,Belgian Grand Prix,lola,0.0,1991 - 2002
14,1991,Belgian Grand Prix,minardi,0.0,1991 - 2002
15,1991,Belgian Grand Prix,team_lotus,0.0,1991 - 2002
16,1991,Belgian Grand Prix,tyrrell,0.0,1991 - 2002
127,1992,Monaco Grand Prix,mclaren,10.0,1991 - 2002
132,1992,Monaco Grand Prix,williams,10.0,1991 - 2002
117,1992,Monaco Grand Prix,benetton,5.0,1991 - 2002
124,1992,Monaco Grand Prix,larrousse,1.0,1991 - 2002
118,1992,Monaco Grand Prix,brabham,0.0,1991 - 2002
119,1992,Monaco Grand Prix,dallara,0.0,1991 - 2002
120,1992,Monaco Grand Prix,ferrari,0.0,1991 - 2002
121,1992,Monaco Grand Prix,fondmetal,0.0,1991 - 2002
122,1992,Monaco Grand Prix,footwork,0.0,1991 - 2002
123,1992,Monaco Grand Prix,jordan,0.0,1991 - 2002
125,1992,Monaco Grand Prix,ligier,0.0,1991 - 2002
126,1992,Monaco Grand Prix,march,0.0,1991 - 2002
128,1992,Monaco Grand Prix,minardi,0.0,1991 - 2002
