,year,name,driver_name,grid,race_finish_position,positions_gained_lost,era
2852,1994,Belgian Grand Prix,gounon,25,11,14,3-Litre Engines
2844,1994,Belgian Grand Prix,panis,17,7,10,3-Litre Engines
2845,1994,Belgian Grand Prix,alboreto,18,9,9,3-Litre Engines
2841,1994,Belgian Grand Prix,morbidelli,14,6,8,3-Litre Engines
2847,1994,Belgian Grand Prix,herbert,20,12,8,3-Litre Engines
2839,1994,Belgian Grand Prix,blundell,12,5,7,3-Litre Engines
2835,1994,Belgian Grand Prix,hakkinen,8,2,6,3-Litre Engines
2843,1994,Belgian Grand Prix,bernard,16,10,6,3-Litre Engines
2833,1994,Belgian Grand Prix,verstappen,6,3,3,3-Litre Engines
2834,1994,Belgian Grand Prix,coulthard,7,4,3,3-Litre Engines
2830,1994,Belgian Grand Prix,damon_hill,3,1,2,3-Litre Engines
2837,1994,Belgian Grand Prix,martini,10,8,2,3-Litre Engines
2831,1994,Belgian Grand Prix,irvine,4,13,-9,3-Litre Engines
2828,1994,Belgian Grand Prix,barrichello,1,-100,-100,3-Litre Engines
2829,1994,Belgian Grand Prix,michael_schumacher,2,-100,-100,3-Litre Engines
2832,1994,Belgian Grand Prix,alesi,5,-100,-100,3-Litre Engines
2836,1994,Belgian Grand Prix,frentzen,9,-100,-100,3-Litre Engines
2838,1994,Belgian Grand Prix,berger,11,-100,-100,3-Litre Engines
2840,1994,Belgian Grand Prix,brundle,13,-100,-100,3-Litre Engines
2842,1994,Belgian Grand Prix,cesaris,15,-100,-100,3-Litre Engines
2846,1994,Belgian Grand Prix,alliot,19,-100,-100,3-Litre Engines
2848,1994,Belgian Grand Prix,brabham,21,-100,-100,3-Litre Engines
2849,1994,Belgian Grand Prix,comas,22,-100,-100,3-Litre Engines
2850,1994,Belgian Grand Prix,katayama,23,-100,-100,3-Litre Engines
2851,1994,Belgian Grand Prix,fittipaldi,24,-100,-100,3-Litre Engines
2853,1994,Belgian Grand Prix,adams,26,-100,-100,3-Litre Engines
2769,1994,British Grand Prix,fittipaldi,20,9,11,3-Litre Engines
2770,1994,British Grand Prix,herbert,21,11,10,3-Litre Engines
2772,1994,British Grand Prix,bernard,23,13,10,3-Litre Engines
2773,1994,British Grand Prix,beretta,24,14,10,3-Litre Engines
2774,1994,British Grand Prix,brabham,25,15,10,3-Litre Engines
2775,1994,British Grand Prix,gounon,26,16,10,3-Litre Engines
2762,1994,British Grand Prix,frentzen,13,7,6,3-Litre Engines
2763,1994,British Grand Prix,martini,14,10,4,3-Litre Engines
2764,1994,British Grand Prix,panis,15,12,3,3-Litre Engines
2753,1994,British Grand Prix,alesi,4,2,2,3-Litre Engines
2754,1994,British Grand Prix,hakkinen,5,3,2,3-Litre Engines
2755,1994,British Grand Prix,barrichello,6,4,2,3-Litre Engines
2756,1994,British Grand Prix,coulthard,7,5,2,3-Litre Engines
2757,1994,British Grand Prix,katayama,8,6,2,3-Litre Engines
2759,1994,British Grand Prix,verstappen,10,8,2,3-Litre Engines
2750,1994,British Grand Prix,damon_hill,1,1,0,3-Litre Engines
2751,1994,British Grand Prix,michael_schumacher,2,-100,-100,3-Litre Engines
2752,1994,British Grand Prix,berger,3,-100,-100,3-Litre Engines
2758,1994,British Grand Prix,brundle,9,-100,-100,3-Litre Engines
2760,1994,British Grand Prix,blundell,11,-100,-100,3-Litre Engines
2761,1994,British Grand Prix,irvine,12,-100,-100,3-Litre Engines
2765,1994,British Grand Prix,morbidelli,16,-100,-100,3-Litre Engines
2766,1994,British Grand Prix,alboreto,17,-100,-100,3-Litre Engines
2767,1994,British Grand Prix,cesaris,18,-100,-100,3-Litre Engines
2768,1994,British Grand Prix,zanardi,19,-100,-100,3-Litre Engines
2771,1994,British Grand Prix,comas,22,-100,-100,3-Litre Engines
2877,1994,Italian Grand Prix,comas,24,8,16,3-Litre Engines
2869,1994,Italian Grand Prix,barrichello,16,4,12,3-Litre Engines
2873,1994,Italian Grand Prix,lehto,20,9,11,3-Litre Engines
2868,1994,Italian Grand Prix,brundle,15,5,10,3-Litre Engines
2865,1994,Italian Grand Prix,bernard,12,7,5,3-Litre Engines
2860,1994,Italian Grand Prix,hakkinen,7,3,4,3-Litre Engines
2856,1994,Italian Grand Prix,damon_hill,3,1,2,3-Litre Engines
2855,1994,Italian Grand Prix,berger,2,2,0,3-Litre Engines
2858,1994,Italian Grand Prix,coulthard,5,6,-1,3-Litre Engines
