,year,name,driver_name,grid,race_finish_position,positions_gained_lost,era
1565,2000,British Grand Prix,wurz,20,9,11,V10
1563,2000,British Grand Prix,salo,18,8,10,V10
1566,2000,British Grand Prix,gene,21,14,7,V10
1567,2000,British Grand Prix,mazzacane,22,15,7,V10
1556,2000,British Grand Prix,trulli,11,6,5,V10
3978,2003,British Grand Prix,button,20,8,12,V10
3970,2003,British Grand Prix,coulthard,12,5,7,V10
3965,2003,British Grand Prix,montoya,7,2,5,V10
3975,2003,British Grand Prix,firman,17,13,4,V10
3977,2003,British Grand Prix,verstappen,19,15,4,V10
4038,2003,Italian Grand Prix,alonso,20,8,12,V10
4034,2003,Italian Grand Prix,heidfeld,16,9,7,V10
4036,2003,Italian Grand Prix,baumgartner,18,11,7,V10
4037,2003,Italian Grand Prix,kiesa,19,12,7,V10
4028,2003,Italian Grand Prix,villeneuve,10,6,4,V10
3895,2003,Monaco Grand Prix,firman,16,12,4,V10
3896,2003,Monaco Grand Prix,panis,17,13,4,V10
3887,2003,Monaco Grand Prix,alonso,8,5,3,V10
3893,2003,Monaco Grand Prix,heidfeld,14,11,3,V10
3882,2003,Monaco Grand Prix,montoya,3,1,2,V10
4358,2004,Belgian Grand Prix,zonta,20,10,10,V10
4348,2004,Belgian Grand Prix,raikkonen,10,1,9,V10
4351,2004,Belgian Grand Prix,klien,13,6,7,V10
4354,2004,Belgian Grand Prix,heidfeld,16,11,5,V10
4346,2004,Belgian Grand Prix,massa,8,4,4,V10
4298,2004,British Grand Prix,fisichella,20,6,14,V10
4284,2004,British Grand Prix,alonso,16,10,6,V10
4282,2004,British Grand Prix,michael_schumacher,4,1,3,V10
4286,2004,British Grand Prix,montoya,7,5,2,V10
4296,2004,British Grand Prix,bruni,18,16,2,V10
1412,2004,Italian Grand Prix,fisichella,15,8,7,V10
1414,2004,Italian Grand Prix,heidfeld,20,14,6,V10
1407,2004,Italian Grand Prix,coulthard,10,6,4,V10
1413,2004,Italian Grand Prix,massa,16,12,4,V10
1416,2004,Italian Grand Prix,baumgartner,19,15,4,V10
4194,2004,Monaco Grand Prix,massa,16,5,11,V10
4195,2004,Monaco Grand Prix,heidfeld,17,7,10,V10
4197,2004,Monaco Grand Prix,baumgartner,19,9,10,V10
4193,2004,Monaco Grand Prix,matta,15,6,9,V10
4188,2004,Monaco Grand Prix,montoya,9,4,5,V10
1336,2005,Belgian Grand Prix,monteiro,19,8,11,V10
1337,2005,Belgian Grand Prix,karthikeyan,20,11,9,V10
1331,2005,Belgian Grand Prix,villeneuve,14,6,8,V10
1330,2005,Belgian Grand Prix,barrichello,12,5,7,V10
1333,2005,Belgian Grand Prix,klien,16,9,7,V10
1219,2005,British Grand Prix,raikkonen,12,3,9,V10
1233,2005,British Grand Prix,massa,16,10,6,V10
1227,2005,British Grand Prix,michael_schumacher,9,6,3,V10
1237,2005,British Grand Prix,monteiro,20,17,3,V10
1221,2005,British Grand Prix,montoya,3,1,2,V10
1313,2005,Italian Grand Prix,pizzonia,16,7,9,V10
1298,2005,Italian Grand Prix,raikkonen,11,4,7,V10
1312,2005,Italian Grand Prix,massa,15,9,6,V10
1306,2005,Italian Grand Prix,fisichella,8,3,5,V10
1307,2005,Italian Grand Prix,ralf_schumacher,9,6,3,V10
4534,2005,Monaco Grand Prix,ralf_schumacher,18,6,12,V10
4532,2005,Monaco Grand Prix,montoya,16,5,11,V10
4522,2005,Monaco Grand Prix,heidfeld,6,2,4,V10
4526,2005,Monaco Grand Prix,barrichello,10,8,2,V10
4527,2005,Monaco Grand Prix,massa,11,9,2,V10
