,year,name,driver_name,grid,race_finish_position,positions_gained_lost,era
6140,2014,Belgian Grand Prix,hulkenberg,18,10,8,V6 Hybrid
6135,2014,Belgian Grand Prix,perez,13,8,5,V6 Hybrid
6142,2014,Belgian Grand Prix,gutierrez,20,15,5,V6 Hybrid
6144,2014,Belgian Grand Prix,ericsson,22,17,5,V6 Hybrid
6127,2014,Belgian Grand Prix,ricciardo,5,1,4,V6 Hybrid
6130,2014,Belgian Grand Prix,raikkonen,8,4,4,V6 Hybrid
6132,2014,Belgian Grand Prix,button,10,6,4,V6 Hybrid
6128,2014,Belgian Grand Prix,bottas,6,3,3,V6 Hybrid
6141,2014,Belgian Grand Prix,chilton,19,16,3,V6 Hybrid
6133,2014,Belgian Grand Prix,kvyat,11,9,2,V6 Hybrid
6134,2014,Belgian Grand Prix,vergne,12,11,1,V6 Hybrid
6136,2014,Belgian Grand Prix,sutil,14,14,0,V6 Hybrid
6123,2014,Belgian Grand Prix,rosberg,1,2,-1,V6 Hybrid
6125,2014,Belgian Grand Prix,vettel,3,5,-2,V6 Hybrid
6138,2014,Belgian Grand Prix,jules_bianchi,16,18,-2,V6 Hybrid
6126,2014,Belgian Grand Prix,alonso,4,7,-3,V6 Hybrid
6131,2014,Belgian Grand Prix,massa,9,13,-4,V6 Hybrid
6129,2014,Belgian Grand Prix,kevin_magnussen,7,12,-5,V6 Hybrid
6124,2014,Belgian Grand Prix,hamilton,2,-100,-100,V6 Hybrid
6137,2014,Belgian Grand Prix,grosjean,15,-100,-100,V6 Hybrid
6139,2014,Belgian Grand Prix,maldonado,17,-100,-100,V6 Hybrid
6143,2014,Belgian Grand Prix,lotterer,21,-100,-100,V6 Hybrid
6073,2014,British Grand Prix,bottas,14,2,12,V6 Hybrid
6075,2014,British Grand Prix,alonso,16,6,10,V6 Hybrid
6078,2014,British Grand Prix,kobayashi,22,15,7,V6 Hybrid
6062,2014,British Grand Prix,hamilton,6,1,5,V6 Hybrid
6064,2014,British Grand Prix,ricciardo,8,3,5,V6 Hybrid
6071,2014,British Grand Prix,maldonado,20,17,3,V6 Hybrid
6069,2014,British Grand Prix,chilton,17,16,1,V6 Hybrid
6065,2014,British Grand Prix,kvyat,9,9,0,V6 Hybrid
6066,2014,British Grand Prix,vergne,10,10,0,V6 Hybrid
6072,2014,British Grand Prix,sutil,13,13,0,V6 Hybrid
6059,2014,British Grand Prix,button,3,4,-1,V6 Hybrid
6067,2014,British Grand Prix,grosjean,11,12,-1,V6 Hybrid
6061,2014,British Grand Prix,kevin_magnussen,5,7,-2,V6 Hybrid
6068,2014,British Grand Prix,jules_bianchi,12,14,-2,V6 Hybrid
6058,2014,British Grand Prix,vettel,2,5,-3,V6 Hybrid
6060,2014,British Grand Prix,hulkenberg,4,8,-4,V6 Hybrid
6063,2014,British Grand Prix,perez,7,11,-4,V6 Hybrid
6057,2014,British Grand Prix,rosberg,1,-100,-100,V6 Hybrid
6070,2014,British Grand Prix,gutierrez,19,-100,-100,V6 Hybrid
6074,2014,British Grand Prix,massa,15,-100,-100,V6 Hybrid
6076,2014,British Grand Prix,raikkonen,18,-100,-100,V6 Hybrid
6077,2014,British Grand Prix,ericsson,21,-100,-100,V6 Hybrid
6155,2014,Italian Grand Prix,kvyat,21,11,10,V6 Hybrid
6153,2014,Italian Grand Prix,ricciardo,9,5,4,V6 Hybrid
6154,2014,Italian Grand Prix,perez,10,7,3,V6 Hybrid
6152,2014,Italian Grand Prix,vettel,8,6,2,V6 Hybrid
6156,2014,Italian Grand Prix,raikkonen,11,9,2,V6 Hybrid
6161,2014,Italian Grand Prix,maldonado,16,14,2,V6 Hybrid
6166,2014,Italian Grand Prix,ericsson,22,20,2,V6 Hybrid
6148,2014,Italian Grand Prix,massa,4,3,1,V6 Hybrid
6158,2014,Italian Grand Prix,hulkenberg,13,12,1,V6 Hybrid
6162,2014,Italian Grand Prix,grosjean,17,16,1,V6 Hybrid
6163,2014,Italian Grand Prix,kobayashi,18,17,1,V6 Hybrid
6164,2014,Italian Grand Prix,jules_bianchi,19,18,1,V6 Hybrid
6145,2014,Italian Grand Prix,hamilton,1,1,0,V6 Hybrid
6146,2014,Italian Grand Prix,rosberg,2,2,0,V6 Hybrid
6147,2014,Italian Grand Prix,bottas,3,4,-1,V6 Hybrid
6157,2014,Italian Grand Prix,vergne,12,13,-1,V6 Hybrid
6159,2014,Italian Grand Prix,sutil,14,15,-1,V6 Hybrid
6150,2014,Italian Grand Prix,button,6,8,-2,V6 Hybrid
6160,2014,Italian Grand Prix,gutierrez,15,19,-4,V6 Hybrid
6149,2014,Italian Grand Prix,kevin_magnussen,5,10,-5,V6 Hybrid
6151,2014,Italian Grand Prix,alonso,7,-100,-100,V6 Hybrid
6165,2014,Italian Grand Prix,chilton,20,-100,-100,V6 Hybrid
6009,2014,Monaco Grand Prix,jules_bianchi,21,9,12,V6 Hybrid
6012,2014,Monaco Grand Prix,ericsson,22,11,11,V6 Hybrid
6006,2014,Monaco Grand Prix,massa,16,7,9,V6 Hybrid
6011,2014,Monaco Grand Prix,kobayashi,20,13,7,V6 Hybrid
6001,2014,Monaco Grand Prix,hulkenberg,11,5,6,V6 Hybrid
6002,2014,Monaco Grand Prix,button,12,6,6,V6 Hybrid
6004,2014,Monaco Grand Prix,grosjean,14,8,6,V6 Hybrid
6010,2014,Monaco Grand Prix,chilton,19,14,5,V6 Hybrid
5995,2014,Monaco Grand Prix,alonso,5,4,1,V6 Hybrid
5991,2014,Monaco Grand Prix,rosberg,1,1,0,V6 Hybrid
5992,2014,Monaco Grand Prix,hamilton,2,2,0,V6 Hybrid
5993,2014,Monaco Grand Prix,ricciardo,3,3,0,V6 Hybrid
5998,2014,Monaco Grand Prix,kevin_magnussen,8,10,-2,V6 Hybrid
5996,2014,Monaco Grand Prix,raikkonen,6,12,-6,V6 Hybrid
5994,2014,Monaco Grand Prix,vettel,4,-100,-100,V6 Hybrid
5997,2014,Monaco Grand Prix,vergne,7,-100,-100,V6 Hybrid
5999,2014,Monaco Grand Prix,kvyat,9,-100,-100,V6 Hybrid
6000,2014,Monaco Grand Prix,perez,10,-100,-100,V6 Hybrid
6003,2014,Monaco Grand Prix,bottas,13,-100,-100,V6 Hybrid
6005,2014,Monaco Grand Prix,maldonado,15,-100,-100,V6 Hybrid
6007,2014,Monaco Grand Prix,gutierrez,17,-100,-100,V6 Hybrid
6008,2014,Monaco Grand Prix,sutil,18,-100,-100,V6 Hybrid
6495,2015,Belgian Grand Prix,max_verstappen,18,8,10,V6 Hybrid
6494,2015,Belgian Grand Prix,raikkonen,16,7,9,V6 Hybrid
6492,2015,Belgian Grand Prix,kvyat,12,4,8,V6 Hybrid
6498,2015,Belgian Grand Prix,alonso,20,13,7,V6 Hybrid
6484,2015,Belgian Grand Prix,grosjean,9,3,6,V6 Hybrid
6497,2015,Belgian Grand Prix,button,19,14,5,V6 Hybrid
6493,2015,Belgian Grand Prix,ericsson,13,10,3,V6 Hybrid
6496,2015,Belgian Grand Prix,nasr,14,11,3,V6 Hybrid
6500,2015,Belgian Grand Prix,merhi,17,15,2,V6 Hybrid
6481,2015,Belgian Grand Prix,hamilton,1,1,0,V6 Hybrid
6482,2015,Belgian Grand Prix,rosberg,2,2,0,V6 Hybrid
6487,2015,Belgian Grand Prix,massa,6,6,0,V6 Hybrid
6485,2015,Belgian Grand Prix,perez,4,5,-1,V6 Hybrid
6499,2015,Belgian Grand Prix,stevens,15,16,-1,V6 Hybrid
6489,2015,Belgian Grand Prix,vettel,8,12,-4,V6 Hybrid
6483,2015,Belgian Grand Prix,bottas,3,9,-6,V6 Hybrid
6486,2015,Belgian Grand Prix,ricciardo,5,-100,-100,V6 Hybrid
6488,2015,Belgian Grand Prix,maldonado,7,-100,-100,V6 Hybrid
6490,2015,Belgian Grand Prix,sainz,10,-100,-100,V6 Hybrid
6491,2015,Belgian Grand Prix,hulkenberg,11,-100,-100,V6 Hybrid
6460,2015,British Grand Prix,merhi,20,12,8,V6 Hybrid
6457,2015,British Grand Prix,alonso,17,10,7,V6 Hybrid
6459,2015,British Grand Prix,stevens,19,13,6,V6 Hybrid
6455,2015,British Grand Prix,ericsson,15,11,4,V6 Hybrid
6446,2015,British Grand Prix,vettel,6,3,3,V6 Hybrid
6449,2015,British Grand Prix,hulkenberg,9,7,2,V6 Hybrid
6451,2015,British Grand Prix,perez,11,9,2,V6 Hybrid
6447,2015,British Grand Prix,kvyat,7,6,1,V6 Hybrid
6441,2015,British Grand Prix,hamilton,1,1,0,V6 Hybrid
6442,2015,British Grand Prix,rosberg,2,2,0,V6 Hybrid
6443,2015,British Grand Prix,massa,3,4,-1,V6 Hybrid
6444,2015,British Grand Prix,bottas,4,5,-1,V6 Hybrid
6445,2015,British Grand Prix,raikkonen,5,8,-3,V6 Hybrid
6448,2015,British Grand Prix,sainz,8,-100,-100,V6 Hybrid
6450,2015,British Grand Prix,ricciardo,10,-100,-100,V6 Hybrid
6452,2015,British Grand Prix,grosjean,12,-100,-100,V6 Hybrid
6453,2015,British Grand Prix,max_verstappen,13,-100,-100,V6 Hybrid
6454,2015,British Grand Prix,maldonado,14,-100,-100,V6 Hybrid
6456,2015,British Grand Prix,nasr,16,-100,-100,V6 Hybrid
6458,2015,British Grand Prix,button,18,-100,-100,V6 Hybrid
6515,2015,Italian Grand Prix,ricciardo,19,8,11,V6 Hybrid
6514,2015,Italian Grand Prix,kvyat,18,10,8,V6 Hybrid
