,year,name,driver_name,grid,race_finish_position,positions_gained_lost
917,2006,British Grand Prix,trulli,22,11,11
907,2006,British Grand Prix,rosberg,12,9,3
913,2006,British Grand Prix,albers,18,15,3
915,2006,British Grand Prix,sato,20,17,3
916,2006,British Grand Prix,montagny,21,18,3
1068,2006,Italian Grand Prix,webber,19,10,9
1058,2006,Italian Grand Prix,fisichella,9,4,5
1065,2006,Italian Grand Prix,klien,16,11,5
1070,2006,Italian Grand Prix,sato,21,16,5
1060,2006,Italian Grand Prix,trulli,11,7,4
895,2006,Monaco Grand Prix,michael_schumacher,22,5,17
894,2006,Monaco Grand Prix,massa,21,9,12
888,2006,Monaco Grand Prix,heidfeld,15,7,8
891,2006,Monaco Grand Prix,speed,18,13,5
880,2006,Monaco Grand Prix,coulthard,7,3,4
667,2007,Belgian Grand Prix,kubica,14,9,5
672,2007,Belgian Grand Prix,sutil,19,14,5
670,2007,Belgian Grand Prix,barrichello,17,13,4
673,2007,Belgian Grand Prix,davidson,20,16,4
674,2007,Belgian Grand Prix,yamamoto,21,17,4
561,2007,British Grand Prix,button,18,10,8
564,2007,British Grand Prix,sato,21,14,7
565,2007,British Grand Prix,albers,22,15,7
557,2007,British Grand Prix,barrichello,14,9,5
560,2007,British Grand Prix,rosberg,17,12,5
646,2007,Italian Grand Prix,fisichella,15,12,3
649,2007,Italian Grand Prix,ralf_schumacher,18,15,3
636,2007,Italian Grand Prix,raikkonen,5,3,2
639,2007,Italian Grand Prix,rosberg,8,6,2
641,2007,Italian Grand Prix,button,10,8,2
473,2007,Monaco Grand Prix,speed,18,9,9
471,2007,Monaco Grand Prix,raikkonen,16,8,8
466,2007,Monaco Grand Prix,wurz,11,7,4
475,2007,Monaco Grand Prix,ralf_schumacher,20,16,4
476,2007,Monaco Grand Prix,sato,21,17,4
257,2008,Belgian Grand Prix,vettel,10,5,5
265,2008,Belgian Grand Prix,sutil,18,13,5
266,2008,Belgian Grand Prix,nakajima,19,14,5
260,2008,Belgian Grand Prix,glock,13,9,4
252,2008,Belgian Grand Prix,heidfeld,5,2,3
183,2008,British Grand Prix,barrichello,16,3,13
185,2008,British Grand Prix,rosberg,20,9,11
181,2008,British Grand Prix,trulli,14,7,7
182,2008,British Grand Prix,nakajima,15,8,7
171,2008,British Grand Prix,hamilton,4,1,3
278,2008,Italian Grand Prix,kubica,11,3,8
282,2008,Italian Grand Prix,hamilton,15,7,8
284,2008,Italian Grand Prix,piquet_jr,17,10,7
285,2008,Italian Grand Prix,nakajima,18,12,6
277,2008,Italian Grand Prix,heidfeld,10,5,5
125,2008,Monaco Grand Prix,vettel,19,5,14
122,2008,Monaco Grand Prix,barrichello,14,6,8
121,2008,Monaco Grand Prix,nakajima,13,7,6
116,2008,Monaco Grand Prix,webber,9,4,5
112,2008,Monaco Grand Prix,kubica,5,2,3
