,year,name,driver_name,grid,race_finish_position,positions_gained_lost,era
3218,2009,Belgian Grand Prix,kovalainen,15,6,9,V8 Regulated
3223,2009,Belgian Grand Prix,badoer,20,14,6,V8 Regulated
3209,2009,Belgian Grand Prix,raikkonen,6,1,5,V8 Regulated
3211,2009,Belgian Grand Prix,vettel,8,3,5,V8 Regulated
3221,2009,Belgian Grand Prix,nakajima,18,13,5,V8 Regulated
3134,2009,British Grand Prix,massa,11,4,7,V8 Regulated
3139,2009,British Grand Prix,fisichella,16,10,6,V8 Regulated
3141,2009,British Grand Prix,sutil,20,17,3,V8 Regulated
3130,2009,British Grand Prix,rosberg,7,5,2,V8 Regulated
3137,2009,British Grand Prix,piquet_jr,14,12,2,V8 Regulated
3238,2009,Italian Grand Prix,heidfeld,15,7,8,V8 Regulated
3240,2009,Italian Grand Prix,nakajima,17,10,7,V8 Regulated
3242,2009,Italian Grand Prix,buemi,19,13,6,V8 Regulated
3237,2009,Italian Grand Prix,fisichella,14,9,5,V8 Regulated
3239,2009,Italian Grand Prix,glock,16,11,5,V8 Regulated
3103,2009,Monaco Grand Prix,glock,20,10,10,V8 Regulated
3099,2009,Monaco Grand Prix,hamilton,19,12,7,V8 Regulated
3097,2009,Monaco Grand Prix,bourdais,14,8,6,V8 Regulated
3100,2009,Monaco Grand Prix,heidfeld,16,11,5,V8 Regulated
3102,2009,Monaco Grand Prix,trulli,18,13,5,V8 Regulated
3622,2010,Belgian Grand Prix,michael_schumacher,21,7,14,V8 Regulated
3635,2010,Belgian Grand Prix,petrov,23,9,14,V8 Regulated
3633,2010,Belgian Grand Prix,rosa,24,11,13,V8 Regulated
3630,2010,Belgian Grand Prix,kobayashi,17,8,9,V8 Regulated
3623,2010,Belgian Grand Prix,rosberg,14,6,8,V8 Regulated
3553,2010,British Grand Prix,button,14,4,10,V8 Regulated
3554,2010,British Grand Prix,liuzzi,20,11,9,V8 Regulated
3551,2010,British Grand Prix,kobayashi,12,6,6,V8 Regulated
