year,name,driver_name,points,era
1962,Monaco Grand Prix,mclaren,9.0,1962 - 1990
1962,Monaco Grand Prix,phil_hill,6.0,1962 - 1990
1962,Monaco Grand Prix,bandini,4.0,1962 - 1990
1962,Monaco Grand Prix,surtees,3.0,1962 - 1990
1962,Monaco Grand Prix,bonnier,2.0,1962 - 1990
1962,Monaco Grand Prix,hill,1.0,1962 - 1990
1962,Monaco Grand Prix,beaufort,0.0,1962 - 1990
1962,Monaco Grand Prix,bussinello,0.0,1962 - 1990
1962,Monaco Grand Prix,clark,0.0,1962 - 1990
1962,Monaco Grand Prix,ginther,0.0,1962 - 1990
1962,Monaco Grand Prix,gregory,0.0,1962 - 1990
1962,Monaco Grand Prix,gurney,0.0,1962 - 1990
1962,Monaco Grand Prix,ireland,0.0,1962 - 1990
1962,Monaco Grand Prix,jack_brabham,0.0,1962 - 1990
1962,Monaco Grand Prix,lewis,0.0,1962 - 1990
1962,Monaco Grand Prix,maggs,0.0,1962 - 1990
1962,Monaco Grand Prix,mairesse,0.0,1962 - 1990
1962,Monaco Grand Prix,marsh,0.0,1962 - 1990
1962,Monaco Grand Prix,ricardo_rodriguez,0.0,1962 - 1990
1962,Monaco Grand Prix,salvadori,0.0,1962 - 1990
1962,Monaco Grand Prix,siffert,0.0,1962 - 1990
1962,Monaco Grand Prix,trevor_taylor,0.0,1962 - 1990
1962,Monaco Grand Prix,trintignant,0.0,1962 - 1990
1962,Monaco Grand Prix,vaccarella,0.0,1962 - 1990
1962,Italian Grand Prix,hill,9.0,1962 - 1990
1962,Italian Grand Prix,ginther,6.0,1962 - 1990
1962,Italian Grand Prix,mclaren,4.0,1962 - 1990
1962,Italian Grand Prix,mairesse,3.0,1962 - 1990
1962,Italian Grand Prix,baghetti,2.0,1962 - 1990
1962,Italian Grand Prix,bonnier,1.0,1962 - 1990
1962,Italian Grand Prix,ashmore,0.0,1962 - 1990
1962,Italian Grand Prix,bandini,0.0,1962 - 1990
1962,Italian Grand Prix,beaufort,0.0,1962 - 1990
1962,Italian Grand Prix,burgess,0.0,1962 - 1990
1962,Italian Grand Prix,chamberlain,0.0,1962 - 1990
1962,Italian Grand Prix,clark,0.0,1962 - 1990
1962,Italian Grand Prix,estefano,0.0,1962 - 1990
1962,Italian Grand Prix,greene,0.0,1962 - 1990
1962,Italian Grand Prix,gregory,0.0,1962 - 1990
1962,Italian Grand Prix,gurney,0.0,1962 - 1990
1962,Italian Grand Prix,ireland,0.0,1962 - 1990
1962,Italian Grand Prix,kuhnke,0.0,1962 - 1990
1962,Italian Grand Prix,lippi,0.0,1962 - 1990
1962,Italian Grand Prix,maggs,0.0,1962 - 1990
1962,Italian Grand Prix,phil_hill,0.0,1962 - 1990
1962,Italian Grand Prix,prinoth,0.0,1962 - 1990
1962,Italian Grand Prix,ricardo_rodriguez,0.0,1962 - 1990
1962,Italian Grand Prix,salvadori,0.0,1962 - 1990
1962,Italian Grand Prix,settember,0.0,1962 - 1990
1962,Italian Grand Prix,shelly,0.0,1962 - 1990
1962,Italian Grand Prix,siffert,0.0,1962 - 1990
1962,Italian Grand Prix,surtees,0.0,1962 - 1990
1962,Italian Grand Prix,trevor_taylor,0.0,1962 - 1990
1962,Italian Grand Prix,trintignant,0.0,1962 - 1990
1962,Italian Grand Prix,vaccarella,0.0,1962 - 1990
1962,British Grand Prix,clark,9.0,1962 - 1990
1962,British Grand Prix,surtees,6.0,1962 - 1990
1962,British Grand Prix,mclaren,4.0,1962 - 1990
1962,British Grand Prix,hill,3.0,1962 - 1990
1962,British Grand Prix,jack_brabham,2.0,1962 - 1990
1962,British Grand Prix,maggs,1.0,1962 - 1990
1962,British Grand Prix,beaufort,0.0,1962 - 1990
1962,British Grand Prix,bonnier,0.0,1962 - 1990
1962,British Grand Prix,burgess,0.0,1962 - 1990
1962,British Grand Prix,campbell-jones,0.0,1962 - 1990
1962,British Grand Prix,chamberlain,0.0,1962 - 1990
1962,British Grand Prix,ginther,0.0,1962 - 1990
1962,British Grand Prix,greene,0.0,1962 - 1990
1962,British Grand Prix,gregory,0.0,1962 - 1990
1962,British Grand Prix,gurney,0.0,1962 - 1990
1962,British Grand Prix,ireland,0.0,1962 - 1990
1962,British Grand Prix,lewis,0.0,1962 - 1990
1962,British Grand Prix,phil_hill,0.0,1962 - 1990
1962,British Grand Prix,salvadori,0.0,1962 - 1990
1962,British Grand Prix,seidel,0.0,1962 - 1990
1962,British Grand Prix,settember,0.0,1962 - 1990
1962,British Grand Prix,shelly,0.0,1962 - 1990
1962,British Grand Prix,siffert,0.0,1962 - 1990
1962,British Grand Prix,trevor_taylor,0.0,1962 - 1990
1962,British Grand Prix,trintignant,0.0,1962 - 1990
1962,Belgian Grand Prix,clark,9.0,1962 - 1990
1962,Belgian Grand Prix,hill,6.0,1962 - 1990
1962,Belgian Grand Prix,phil_hill,4.0,1962 - 1990
1962,Belgian Grand Prix,ricardo_rodriguez,3.0,1962 - 1990
1962,Belgian Grand Prix,surtees,2.0,1962 - 1990
1962,Belgian Grand Prix,jack_brabham,1.0,1962 - 1990
1962,Belgian Grand Prix,ashmore,0.0,1962 - 1990
1962,Belgian Grand Prix,baghetti,0.0,1962 - 1990
1962,Belgian Grand Prix,beaufort,0.0,1962 - 1990
1962,Belgian Grand Prix,bianchi,0.0,1962 - 1990
1962,Belgian Grand Prix,bonnier,0.0,1962 - 1990
1962,Belgian Grand Prix,campbell-jones,0.0,1962 - 1990
1962,Belgian Grand Prix,ginther,0.0,1962 - 1990
1962,Belgian Grand Prix,gregory,0.0,1962 - 1990
1962,Belgian Grand Prix,gurney,0.0,1962 - 1990
1962,Belgian Grand Prix,ireland,0.0,1962 - 1990
1962,Belgian Grand Prix,lewis,0.0,1962 - 1990
1962,Belgian Grand Prix,maggs,0.0,1962 - 1990
1962,Belgian Grand Prix,mairesse,0.0,1962 - 1990
1962,Belgian Grand Prix,marsh,0.0,1962 - 1990
1962,Belgian Grand Prix,mclaren,0.0,1962 - 1990
1962,Belgian Grand Prix,salvadori,0.0,1962 - 1990
1962,Belgian Grand Prix,schiller,0.0,1962 - 1990
1962,Belgian Grand Prix,siffert,0.0,1962 - 1990
1962,Belgian Grand Prix,trevor_taylor,0.0,1962 - 1990
1962,Belgian Grand Prix,trintignant,0.0,1962 - 1990
1963,Monaco Grand Prix,hill,9.0,1962 - 1990
1963,Monaco Grand Prix,ginther,6.0,1962 - 1990
1963,Monaco Grand Prix,mclaren,4.0,1962 - 1990
1963,Monaco Grand Prix,surtees,3.0,1962 - 1990
1963,Monaco Grand Prix,maggs,2.0,1962 - 1990
1963,Monaco Grand Prix,trevor_taylor,1.0,1962 - 1990
1963,Monaco Grand Prix,amon,0.0,1962 - 1990
1963,Monaco Grand Prix,baghetti,0.0,1962 - 1990
